Name,(Sonstige) Bezeichnung / Abk.,Country,Category,Verifier,URL,URL-Sprache,Verlagshaus,Twitter-Account,Username,Follower,Tweets,URL-Twitter
Grenchner Tagblatt,Grenchner Tagblatt,CH,Tageszeitung,Vincenzo,http://www.grenchnertagblatt.ch,DE,AZ Medien AG,@azGrenchen,azGrenchnerTagblatt,126,4'836,https://twitter.com/azGrenchen
Handelszeitung,Handelszeitung,CH,Wochenzeitung,Vincenzo,http://www.handelszeitung.ch/,DE,Axel Springer Schweiz AG,@Handelszeitung,Handelszeitung,3'092,16.4 Tsd,https://twitter.com/Handelszeitung
Helvezin,Helvezin,CH,Magazin,Vincenzo,http://www.helvezin.ch/,DE,,@Helvezin,,239,267,https://twitter.com/Helvezin?lang=de
"IAM, Institut für Angewandte Medienwissenschaft, ZHAW",,CH,,Vincenzo,http://linguistik.zhaw.ch/de/linguistik/institute-und-zentren/iam.html?pk_campaign=shortlink&pk_kwd=linguistik.zhaw.ch/iam,,,@IAM_Winterthur,"IAM professionalises the communication process in journalism and organisational communication. It offers education,vocational training,research and consultancy.",1339,382,https://twitter.com/IAM_Winterthur
Infamy,Infamy,CH,Newsportal,Vincenzo,http://infam.antville.org/,DE,Medienbüro Dominique Spirgi,@infamyblog,infamyblog,796,7'031,https://twitter.com/infamyblog
Inside Paradeplatz,Inside Paradeplatz,CH,Newsportal,Vincenzo,http://insideparadeplatz.ch/,DE,Inside Paradeplatz GmbH,@InsideParade,InsideParadeplatz,3'043,645,https://twitter.com/InsideParade
Joiz,Joiz,CH,TV-Station,Vincenzo,http://www.joiz.ch/home,DE,JOIZ SCHWEIZ AG,@JOIZTV,joiz Schweiz,21.7 Tsd,23.4 Tsd,https://twitter.com/JOIZTV
journal21 ,,CH,Internet-Zeitung,Vincenzo,https://www.journal21.ch/,DE,,@journal21,journal21,698,984,https://twitter.com/journal21
Jungfrau Zeitung,jungfrauzeitung.ch,CH,Newsplattform,Vincenzo,http://www.jungfrauzeitung.ch,DE,Gossweiler Media AG,@JungfrauZeitung,Jungfrau Zeitung ,869,5'707,https://twitter.com/JungfrauZeitung
Klartext,,CH,Medienmagazin,Vincenzo,http://www.klartext.ch/,DE,,@klartext_ch,KLARTEXT,1587,253,https://twitter.com/klartext_ch
Klotener Anzeiger,Klotener Anzeiger,CH,Wochenzeitung,Vincenzo,http://www.kloteneranzeiger.ch/,DE,Verlag Spross AG,@klotenanzeiger,Klotener Anzeiger,163,675,https://twitter.com/klotenanzeiger
Label TV,,CH,,Vincenzo,http://www.labeltv.com/,,,@labeltv,Label TV ,633,2'356,https://twitter.com/labeltv
LabelTV Music,,CH,,Vincenzo,http://www.labeltv.tv/,,,@labeltvmusic,LabelTV Music,265,1'668,https://twitter.com/labeltvmusic
Ladies Drive,Ladies Drive,CH,Businessmagazin (Kaderfrauen) 4x jährlich,Vincenzo,http://ladiesdrive.tv,DE,Swiss Ladies Drive GmbH,@LadiesDrive,Ladies Drive,239,324,https://twitter.com/LadiesDrive
"Landbote, Der",Der Landbote,CH,Tageszeitung,Vincenzo,http://www.landbote.ch/home,DE,Tamedia AG,@landbote,Landbote.ch,1'553,2'290,https://twitter.com/landbote
Liechtensteiner Vaterland,Liechtensteiner Vaterland,L/CH,Tageszeitung,Vincenzo,http://www.vaterland.li,DE,Vaduzer Medienhaus AG,@vaterlandnews,Vaterland Online ,786,16.8 Tsd,https://twitter.com/vaterlandnews
Liechtensteiner Volksblatt,LB,CH,Tageszeitung,Vincenzo,http://www.volksblatt.li,DE,Liechtensteiner Volksblatt AG,@Volksblatt,Liechtenstein VB,976,21.8 Tsd,https://twitter.com/Volksblatt
Limmattaler Zeitung,Limmattaler Zeitung,CH,Tageszeitung,Vincenzo,http://www.limmattalerzeitung.ch,DE,AZ Medien AG,@azLimmattaler,azLiZ,146,1'992,https://twitter.com/azLimmattaler
Luzerner Rundschau,,CH,,Vincenzo,http://luzerner-rundschau.ch/,,,@LuzeRund,Luzerner Rundschau,182,345,https://twitter.com/LuzeRund
