Name,(Sonstige) Bezeichnung / Abk.,Country,Category,Verifier,URL,URL-Sprache,Verlagshaus,Twitter-Account,Username,Follower,Tweets,URL-Twitter
Radio Zürisee,Radio Zürisee,CH,Kommerzielles Privatradio,Vincenzo,http://www.radio.ch/,DE,Radio Zürisee AG,@zuerisee,Radio Zürisee,1'866,3'400,https://twitter.com/zuerisee
Ringier AG,,CH,,Vincenzo,,,,@ringier_ag ,Ringier AG,787,630,https://twitter.com/ringier_ag
rontaler,,CH,,Vincenzo,http://www.rontaler.ch/,,,@_rontaler,rontaler,129,117,https://twitter.com/_rontaler
Schaffhauser Nachrichten,Schaffhauser Nachrichten,CH,Tageszeitung,Vincenzo,http://www.shn.ch/,DE,Meier + Cie AG,@SHN_News,SN-Redaktion,672,2'198,https://twitter.com/SHN_News
Schweiz am Sonntag,Schweiz am Sonntag,CH,Sonntagszeitung,Vincenzo,http://www.schweizamsonntag.ch/,DE,AZ Medien AG,@schweiz_sonntag,Schweiz am Sonntag,6'193,2'318,https://twitter.com/schweiz_Sonntag
Schweiz am Sonntag Aargau,Schweiz am Sonntag Aargau,CH,Sonntagszeitung,Vincenzo,http://www.schweizamsonntag.ch/,DE,AZ Medien AG,@schweiz_sonntag,Schweiz am Sonntag,6'193,2'318,https://twitter.com/schweiz_Sonntag
Schweiz am Sonntag Basel,Schweiz am Sonntag Basel,CH,Sonntagszeitung,Vincenzo,http://www.schweizamsonntag.ch/basel/,DE,AZ Medien AG,@schweiz_sonntag,Schweiz am Sonntag,6'193,2'318,https://twitter.com/schweiz_Sonntag
Schweiz am Sonntag Limmattal,Schweiz am Sonntag Limmattal,CH,Sonntagszeitung,Vincenzo,http://www.schweizamsonntag.ch/,DE,AZ Medien AG,@schweiz_sonntag,Schweiz am Sonntag,6'193,2'318,https://twitter.com/schweiz_Sonntag
Schweiz am Sonntag Solothurn/Oberaargau,Schweiz am Sonntag Solothurn/Oberaargau,CH,Sonntagszeitung,Vincenzo,http://www.schweizamsonntag.ch/,DE,AZ Medien AG,@schweiz_sonntag,Schweiz am Sonntag,6'193,2'318,https://twitter.com/schweiz_Sonntag
"Schweiz am Sonntag, Nordwestschweiz","Schweiz am Sonntag, Nordwestschweiz",CH,Sonntagszeitung,Vincenzo,http://www.schweizamsonntag.ch/,DE,AZ Medien AG,@schweiz_sonntag,Schweiz am Sonntag,6'193,2'318,https://twitter.com/schweiz_Sonntag
"Schweiz am Sonntag, Südostschweiz","Schweiz am Sonntag, Südostschweiz",CH,Sonntagszeitung,Vincenzo,http://www.schweizamsonntag.ch/,DE,AZ Medien AG,@schweiz_sonntag,Schweiz am Sonntag,6'193,2'318,https://twitter.com/schweiz_Sonntag
Schweizer Familie,Schweizer Familie,CH,Zeitschrift,Vincenzo,http://www.schweizerfamilie.ch/,DE,Verlag Schweizer Familie (Tamedia AG),@chfamilie,«Schweizer Familie» ,191,233,https://twitter.com/chfamilie
Schweizer Illustrierte,Schweizer Illustrierte,CH,Zeitschrift,Vincenzo,http://www.schweizer-illustrierte.ch/,DE,Ringier AG,@schweizerillu,SI,3'019,13 Tsd,https://twitter.com/schweizerillu
Schweizer Radio und Fernsehen,SRF,CH,"öffentlicher Rundfunk, TV",Vincenzo,http://www.srf.ch/,DE,Schweizer Radio und Fernsehen,@SRF,SRF,16.9 Tsd,5'838,https://twitter.com/SRF
Seetaler Bote,Seetaler Bote,CH,Wochenzeitung,Vincenzo,http://www.seetalerbote.ch/,DE,SWS Medien AG Verlag,@SeetalerBote,Seetaler Bote,179,4'517,https://twitter.com/SeetalerBote
SI Style,Schweizer Illustrierte Style,CH,Zeitschrift,Vincenzo,http://www.sistyle.ch/,DE,Ringier AG,@SIStyle_Magazin,SI Style,205,525,https://twitter.com/SIStyle_Magazin
SonntagsBlick,Sonntags-Blick,CH,Sonntagszeitung,Vincenzo,http://www.blick.ch/sonntagsblick/,DE,Ringier AG,@sonntags_blick,SonntagsBlick,455,46,https://twitter.com/sonntags_blick
SonntagsZeitung,sonntagszeitung.ch,CH,Sonntags-Zeitung,Vincenzo,http://www.sonntagszeitung.ch,DE,Tamedia AG,@sonntagszeitung,SonntagsZeitung,8'792,4'145,https://twitter.com/sonntagszeitung
sport.ch,,CH,,Vincenzo,http://www.sport.ch/,,,@sportch,sport.ch ,2'879,18.8 Tsd,https://twitter.com/sportch
SRF 1,SRF 1,CH,TV-Station,Vincenzo,http://www.srf.ch/tv,DE,SRG SSR,@SRF,SRF,16.9 Tsd,5'838,https://twitter.com/SRF
SRF 2,SRF Kultur,CH,öffentlich-rechtlicher Rundfunk,Vincenzo,http://www.srf.ch/radio-srf-2-kultur,DE,SRG SSR,@srfkultur,SRF Kultur,5'649,4'470,https://twitter.com/srfkultur
SRF 2,SRF 2,CH,TV-Station,Vincenzo,http://www.srf.ch/tv,DE,SRG SSR,@SRF,SRF,16.9 Tsd,5'838,https://twitter.com/SRF
SRF 3,SRF 3,CH,öffentlich-rechtlicher Rundfunk,Vincenzo,http://www.srf.ch/radio-srf-3,DE,SRG SSR,@srf3,SRF 3,44.7 Tsd,11.1 Tsd,https://twitter.com/srf3
SRF 4 News,SRF 4 News,CH,öffentlich-rechtlicher Rundfunk,Vincenzo,http://www.srf.ch/radio-srf-4-news,DE,SRG SSR,@srfnews,SRF News,43.5 Tsd,75 Tsd,https://twitter.com/srfnews
SRF Info,SRF Info,CH,TV-Station,Vincenzo,http://www.srf.ch/tv,DE,SRG SSR,@SRF,SRF,16.9 Tsd,5'838,https://twitter.com/SRF
SRF Regionaljournal,,CH,,Vincenzo,http://www.srf.ch/sendungen/regionaljournal-bern-freiburg-wallis,,,@srfbern,SRF Regionaljournal,2'448,3'240,https://twitter.com/srfbern
SRF Regionaljournal,,CH,,Vincenzo,http://www.srf.ch/news/regional/ostschweiz,,,@srf_ostschweiz,SRF Regionaljournal,2'367,5'030,https://twitter.com/srf_ostschweiz
SRF Regionaljournal,,CH,,Vincenzo,http://www.srf.ch/news/regional/zuerich-schaffhausen,,,@srfzuerich,SRF Regionaljournal,1'425,2'598,https://twitter.com/srfzuerich
SRF Regionaljournal,,CH,,Vincenzo,http://www.srf.ch/news/regional/zentralschweiz,,,@srfluzern,SRF Regionaljournal,859,2'298,https://twitter.com/srfluzern
SRF Sport,,CH,,Vincenzo,http://www.srf.ch/sport,,,@srfsport,SRF Sport,38.4 Tsd,33.5 Tsd,https://twitter.com/srfsport
SRF Virus,SRF Virus,CH,öffentlich-rechtlicher Rundfunk,Vincenzo,http://www.virus.ch/,DE,SRG SSR,@srfvirus,SRF Virus,4'689,13.6 Tsd,https://twitter.com/srfvirus
SRG Deutschschweiz ,SRG Deutschschweiz ,CH,,Vincenzo,http://www.srgd.ch/,DE,,@srg_d,,672,685,https://twitter.com/srg_d
SRG Insider,SRG Insider,CH,,Vincenzo,http://www.srginsider.ch/,DE,SRG Deutschschweiz,@srginsider,SRG Insider,686,844,https://twitter.com/srginsider?lang=de
St. Galler Tagblatt,St. Galler Tagblatt,CH,Tageszeitung,Vincenzo,http://www.tagblatt.ch/,DE,St.Galler Tagblatt AG,@tagblatt_ch,Tagblatt Online,1'307,1'116,https://twitter.com/tagblatt_ch
Südostschweiz - Bündner Tagblatt,Südostschweiz - Bündner Tagblatt,CH,Tageszeitung,Vincenzo,http://www.suedostschweiz.ch/zeitung/buendner-tagblatt,DE,Südostschweiz Presse und Print AG (Somedia),@suedostschweiz,Die Südostschweiz,2'415,31.9 Tsd,https://twitter.com/suedostschweiz
Südostschweiz - Gaster und See,Südostschweiz - Gaster und See,CH,Tageszeitung,Vincenzo,http://www.suedostschweiz.ch/region/gaster_see,DE,Südostschweiz Presse und Print AG (Somedia),@suedostschweiz,Die Südostschweiz,2'415,31.9 Tsd,https://twitter.com/suedostschweiz
Südostschweiz - Glarus,Südostschweiz - Glarus,CH,Tageszeitung,Vincenzo,http://www.suedostschweiz.ch/region/glarus,DE,Südostschweiz Presse und Print AG (Somedia),@suedostschweiz,Die Südostschweiz,2'415,31.9 Tsd,https://twitter.com/suedostschweiz
Südostschweiz - Graubünden,Südostschweiz - Graubünden,CH,Tageszeitung,Vincenzo,http://www.suedostschweiz.ch/region/graubuenden,DE,Südostschweiz Presse und Print AG (Somedia),@suedostschweiz,Die Südostschweiz,2'415,31.9 Tsd,https://twitter.com/suedostschweiz
Südostschweiz - La Quotidiana,Südostschweiz - La Quotidiana,CH,Tageszeitung,Vincenzo,http://www.suedostschweiz.ch/zeitung/la-quotidiana,RM,Südostschweiz Presse und Print AG (Somedia),@suedostschweiz,Die Südostschweiz,2'415,31.9 Tsd,https://twitter.com/suedostschweiz
Südostschweiz am Sonntag - Gaster und See,Südostschweiz am Sonntag - Gaster und See,CH,Sonntagszeitung,Vincenzo,http://www.suedostschweiz.ch/region/gaster_see,DE,Südostschweiz Presse und Print AG (Somedia),@suedostschweiz,Die Südostschweiz,2'415,31.9 Tsd,https://twitter.com/suedostschweiz
Südostschweiz am Sonntag - Glarus,Südostschweiz am Sonntag - Glarus,CH,Sonntagszeitung,Vincenzo,http://www.suedostschweiz.ch/region/glarus,DE,Südostschweiz Presse und Print AG (Somedia),@suedostschweiz,Die Südostschweiz,2'415,31.9 Tsd,https://twitter.com/suedostschweiz
Südostschweiz am Sonntag - Graubünden,Südostschweiz am Sonntag - Graubünden,CH,Sonntagszeitung,Vincenzo,http://www.suedostschweiz.ch/region/graubuenden,DE,Südostschweiz Presse und Print AG (Somedia),@suedostschweiz,Die Südostschweiz,2'415,31.9 Tsd,https://twitter.com/suedostschweiz
Südostschweiz Medien,,CH,,Vincenzo,,,,@somedien,Südostschweiz Medien,442,9'023,https://twitter.com/somedien
"Südostschweiz, Die",Die Südostschweiz,CH,Tageszeitung,Vincenzo,http://www.suedostschweiz.ch,DE,Südostschweiz Presse und Print AG (Somedia),@suedostschweiz,Die Südostschweiz,2'415,31.9 Tsd,https://twitter.com/suedostschweiz
Swiss Music Export,,CH,,Vincenzo,http://swiss-music-export.com/,,,@swissmusicxport,Swiss Music Export,1'130,171,https://twitter.com/swissmusicxport
Swissinfo,Swissinfo,CH,Newsportal,Vincenzo,http://www.swissinfo.ch,DE,SRG SSR,@swissinfo_de,swissinfo.ch,1'999,4'348,https://twitter.com/swissinfo_de
Swiss Radioworld AG,Swiss Radio AG,CH,Private Radiostation,Vincenzo,http://www.swissradioworld.ch/,DE,,@Swissradioworld,swiss radioworld AG,173,401,https://twitter.com/Swissradioworld?lang=de
TA Politik,,CH,Tageszeitung,Vincenzo,,DE,,@TA_Politik,TA Politik,4334,9441,https://twitter.com/TA_Politik
Tagblatt der Stadt Zürich,Tagblatt der Stadt Zürich,CH,Wochenblatt,Vincenzo,http://www.tagblattzuerich.ch/meta/home.html,DE,Tamedia AG,@TagblattZuerich,Tagblatt Zürich,116,201,https://twitter.com/TagblattZuerich
Tages-Anzeiger,Tagi,CH,Tageszeitung,Vincenzo,http://www.tagesanzeiger.ch,DE,Tamedia AG,@tagesanzeiger,Tages-Anzeiger,24.3 Tsd,9'667,https://twitter.com/tagesanzeiger
TagesWoche,tageswoche.ch,CH,Wochenzeitung (aber täglich im Internet),Vincenzo,http://www.tageswoche.ch,DE,Neue Medien Basel AG,@tageswoche,TagesWoche,8'088,8'474,https://twitter.com/tageswoche
Tamedia AG,,CH,,Vincenzo,,,,@Tamedia,Tamedia AG,474,224,https://twitter.com/Tamedia
TELE,tele.ch,CH,Zeitschrift,Vincenzo,http://www.tele.ch,DE,Axel Springer Schweiz AG,@TELE_ch,TELE,681,5'993,https://twitter.com/TELE_ch
Tele 1,Tele 1,CH,TV-Station,Vincenzo,http://www.tele1.ch/,DE,Tele1 AG,@Tele1ZF,Tele 1,531,1'237,https://twitter.com/Tele1ZF
Tele Bärn,Tele Bärn,CH,TV-Station,Vincenzo,http://www.telebaern.tv/,DE,AZ Regionalfernsehen AG,@TeleBaernTV,TeleBärn,653,417,https://twitter.com/TeleBaernTV
Tele Basel,Tele Basel,CH,TV-Station,Vincenzo,http://www.telebasel.ch/,DE,Tele Basel,@Telebasel,Telebasel,1'578,2'326,https://twitter.com/Telebasel
Tele Blocher,Tele Blocher,CH,TV-Station,Vincenzo,http://www.teleblocher.ch/,DE,Schaffhauser Fernsehen,@Teleblocher,Teleblocher,564,66,https://twitter.com/Teleblocher
Tele Südostschweiz,TSO,CH,TV-Station,Vincenzo,http://www.telesuedostschweiz.ch/,DE,Tele Südostschweiz,@redaktion_tso,Tele Südostschweiz,497,588,https://twitter.com/redaktion_tso
Tele Top,Tele Top,CH,TV-Station,Vincenzo,http://www.teletop.ch/,DE,Top-Medien,@TELETOPCH,TELE TOP,389,260,https://twitter.com/TELETOPCH
Tele Züri,Tele Züri,CH,TV-Station,Vincenzo,http://www.telezueri.ch/,DE,AZ Medien AG,@MarkusGilli,Markus Gilli,4'614,1'601,https://twitter.com/MarkusGilli
Teleclub,Teleclub,CH,TV-Station,Vincenzo,http://www.teleclub.ch/,DE,Teleclub AG,@TeleclubAG,Teleclub AG,137,398,https://twitter.com/TeleclubAG
Thurgauer Zeitung,Thurgauer Zeitung,CH,Tageszeitung,Vincenzo,http://www.thurgauerzeitung.ch/,DE,St.Galler Tagblatt AG,@tagblatt_ch,Tagblatt Online,1'307,1'116,https://twitter.com/tagblatt_ch
Toggenburger Tagblatt,Toggenburger Tagblatt,CH,Tageszeitung,Vincenzo,http://www.toggenburgertagblatt.ch/,DE,St.Galler Tagblatt AG,@tagblatt_ch,Tagblatt Online,1'307,1'116,https://twitter.com/tagblatt_ch
Toxic.fm,Toxic.fm,CH,nicht-kommerzorientiertes Lokalradio,Vincenzo,http://www.toxic.fm/,DE,Toxic.fm,@toxicfm,toxic.fm,917,1'852,https://twitter.com/toxicfm
TVO,TVO,CH,TV-Station,Vincenzo,http://www.tvo-online.ch/,DE,Tagblatt Medien,@tvo_online,TVO AG,778,672,https://twitter.com/tvo_online
Urner Wochenblatt,Urner Wochenblatt,CH,2x wöchentlich,Vincenzo,http://www.urnerwochenblatt.ch/start.asp?level=2,DE,Gisler Druck AG,@_Wochenblatt,Urner Wochenblatt,196,1'794,https://twitter.com/_Wochenblatt
"UVEK, Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation UVEK",,CH,,Vincenzo,http://www.uvek.admin.ch/,,,@UVEK,,4435,2504,https://twitter.com/UVEK
Volksstimme,Volksstimme (Oberbaselbiet),CH,3x wöchentlich,Vincenzo,http://www.volksstimme.ch/,DE,Schaub Medien AG,@Volksstimme_CH,Volksstimme,447,11.7 Tsd,https://twitter.com/Volksstimme_CH
Watson,Watson,CH,Newsportal,Vincenzo,www.watson.ch,DE,FixxPunkt AG (AZ Medien AG),@watson_news,watson,12.9 Tsd,6'779,https://twitter.com/watson_news
"Weltwoche, die",Weltwoche,CH,Wochenzeitung,Vincenzo,http://www.weltwoche.ch,DE,Weltwoche Verlags AG,@Weltwoche,Die Weltwoche ,23.5 Tsd,1'888,https://twitter.com/Weltwoche
Werbewoche,Werbe Woche,CH,alle 2 Monate (PR),Vincenzo,http://www.werbewoche.ch,DE,Medien&Medizin Verlag MMV AG,@Werbewoche, Werbewoche.ch ,3'271,8'278,https://twitter.com/Werbewoche
Wiler Zeitung,Wiler Zeitung,CH,Tageszeitung,Vincenzo,http://www.wilerzeitung.ch/,DE,St.Galler Tagblatt AG,@WilerZeitung,Wiler Zeitung ,136,552,https://twitter.com/WilerZeitung
Willisauer Bote,WB,CH,2x wöchentlich,Vincenzo,http://www.willisauerbote.ch/,DE,SWS Medien AG,@WillisauerBote,Willisauer Bote,1'176,5'976,https://twitter.com/WillisauerBote
"Wochenzeitung, Die",WOZ,CH,Wochenzeitung,Vincenzo,http://www.woz.ch,DE,WOZ Die Wochenzeitung,@Wochenzeitung,WOZ,11.4 Tsd,1'714,https://twitter.com/Wochenzeitung
"Zeit, Die (Schweiz)",Die Zeit (Schweiz),DE/CH,Wochenzeitung,Vincenzo,http://www.zeit.de/themen/international/zeit-schweiz/index,DE,Zeitverlag Gerd Bucerius GmbH & Co. KG,@zeitschweiz,ZEIT SCHWEIZ,526,593,https://twitter.com/zeitschweiz
Zentral+,Zentralplus,CH,Newsportal,Vincenzo,http://www.zentralplus.ch,DE,MMV online AG,@zentralplus,zentralplus,814,1'219,https://twitter.com/zentralplus
ZO-Online,,CH,,Vincenzo,http://www.zol.ch/,,,@zo_online,ZO-Online,1'828,9'471,https://twitter.com/zo_online
Zofinger Tagblatt,Zofinger Tagblatt,CH,Tageszeitung,Vincenzo,http://www.zofingertagblatt.ch,DE,Zofinger Tagblatt AG,@zt_info,Zofinger Tagblatt ,250,948,https://twitter.com/zt_info
zt Schweiz am Sonntag,zt Schweiz am Sonntag,CH,Sonntagszeitung,Vincenzo,http://zt.sonntagonline.ch/,DE,AZ Medien AG,@schweiz_sonntag,Schweiz am Sonntag,6'193,2'318,https://twitter.com/schweiz_Sonntag
Zürcher Presseverein,,CH,,Vincenzo,http://www.presseverein.ch/,,,@presseverein_zh,Journalistinnen und Journalisten im Grossraum Zürich. Sektion von impressum.,1719,1120,https://twitter.com/presseverein_zh
Zürichsee Zeitung,"zsz.ch, ZSZ",CH,Tageszeitung,Vincenzo,http://www.zsz.ch,DE,Tamedia AG,@ZSZonline,Zürichsee-Zeitung,201,471,https://twitter.com/ZSZonline
Zürichsee Zeitung Bezirk Horgen,Zürichsee Zeitung Bezirk Horgen,CH,Tageszeitung,Vincenzo,http://www.zsz.ch/horgen/index.html,DE,Tamedia AG,@ZSZonline,Zürichsee-Zeitung,201,471,https://twitter.com/ZSZonline
Zürichsee Zeitung Bezirk Meilen,Zürichsee Zeitung Bezirk Meilen,CH,Tageszeitung,Vincenzo,http://www.zsz.ch/meilen/index.html,DE,Tamedia AG,@ZSZonline,Zürichsee-Zeitung,201,471,https://twitter.com/ZSZonline
Zürichsee Zeitung Obersee,Zürichsee Zeitung Obersee,CH,Tageszeitung,Vincenzo,http://www.zsz.ch/obersee/index.html,DE,Tamedia AG,@ZSZonline,Zürichsee-Zeitung,201,471,https://twitter.com/ZSZonline
