Name,Vorname / weitere Namen (optional),Twitter-Account,Abkürzungen,Organisation,URL (direkt zu Medienmitteilungen),URL Sprache,Category,Subcategory,Auf inhaltliche und technische Sinnhaftigkeit überprüft im August 2015,Notizen,
Verein für Qualität im Journalismus,Qualität im Journalismus,@Quajou,Quajou,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Medienkritischer Akteur,ja,wird über FÖ alles gecrawlt,
Vetter Druck AG,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine MM verfügbar,
Vogt-Schild Druck AG,Vogt-Schild Medien Gruppe,@vsdruck,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,gehört zu den AZ Medien. Keine MM verfügbar,
Walter Feldmann AG,Fridolin Druck und Medien,---,,,---,,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine MM verfügbar,
Werbemedienforschung,MACH,---,WEMF,WEMF AG,http://www.wemf.ch/d/unternehmen/medienmitteilungen.php,DE,Medienmitteilungen der Fachöffentlichkeit,Marktforschungsorganisation,ja,MM im php-Format,nur als pdf verfügbar
Wettbewerbskommission,Weko,---,,,http://www.weko.admin.ch/dokumentation/00158/,DE,Medienmitteilungen der Fachöffentlichkeit,(Medien-)politische Organisationen/Instanzen,ja,,
Wiler Zeitung AG,,@WilerZeitung   ,,,---,---,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine eigene Homepage,
Y&R Group Switzerland,Media Use Index,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,Marktforschungsorganisation,ja,keine MM verfügbar,
Ziegler Druck AG,,@ziegler_druck,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine MM verfügbar,
Zofinger Tagblatt AG,,@zt_info    ,,,http://ztonline.ch/ueber-uns/aktuell/,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,Mischform. wird auch über FÖ alles gecrawlt,
Zürcher Oberland Medien AG,,---,,,http://www.zo-medien.ch/nc/medien/news.html,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,Mischform. wird auch über FÖ alles gecrawlt,
Zürcher Regionalzeitungen AG,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,keine MM verfügbar,
Zürichsee Medien AG,,---,,,---,DE,Medienmitteilungen der Fachöffentlichkeit,"Medienhäuser, Verlage und Druckereien",ja,Mischform. wird auch über FÖ alles gecrawlt,
