Name,Vorname / weitere Namen (optional),Twitter-Account,Organisation,URL,URL_Sprache,Category,Subcategory,Ort,Total verbreitete Auflage 2013,Auf inhaltliche und technische Sinnhaftigkeit überprüft im August 2015,Notizen,Letzte Aktualisierung am 18.07.2016
Marquard Media International AG,,---,,---,DE,Fachöffentlichkeit online,"Medienhäuser, Verlage und Druckereien",,,ja,Keine News vorhanden,
Media Focus Schweiz GmbH,Media Focus,,,---,DE,Fachöffentlichkeit online,Kommerzielles Marktforschungsinstitut,,,ja,Publikationen nur im PDF-Format vorhanden,
Mediaforum,,---,,---,DE,Fachöffentlichkeit online,Branchenportal für Kommunikation und Medienproduktion. Online-Stellenmarkt.,,,ja,Sämtliche Inhalte werden zu medienmonitor.ch verlinkt,
Medialex,,,,---,DE,Fachöffentlichkeit online,Zeitschrift für Medienrecht,,,ja,Die Dokumente sind nicht frei zugänglich,
Mediapulse / Publica Data,,---,,http://www.mediapulse.ch/de/news/aktuell.html,DE,Fachöffentlichkeit online,Marktforschungsinstitut,,,ja,Newsletter kann abonniert werden,
Mediapulse Stiftung für Medienforschung,,,,---,DE,Fachöffentlichkeit online,Stiftung,,,ja,keine relevanten Inhalte,
Mediatenor,,,,---,DE,Fachöffentlichkeit online,Marktforschungsinstitut,,,ja,"Globales Netzwerk, Schweizer Sitz in Rapperswil. News nur in PDF-Form verfügbar",
Mediawatch,,---,,http://www.mediawatch.ch,DE,Fachöffentlichkeit online,Hybrid,,,ja,Mediaflash in Textform und als PDF verfügbar,
Medien in der Schweiz,,,,www.medien.ch,DE,Fachöffentlichkeit online,Blog,,,ja,Reine Beitragssammlung zu Mediennews,
Medienausbildungszentrum,MAZ,---,,http://www.maz.ch/news/news-aktuell/,DE,Fachöffentlichkeit online,Medienausbildungsinstanz,,,ja,,
Medieninstitut,,@Medieninstitut3,,http://www.medieninstitut.ch/,DE,Fachöffentlichkeit online,Hybrid: Marktforschungsinstitut / Medienausbildungsinstanz,,,ja,Gehört zum Verband Schweizer Medien. News auf der Startseite.,
Medienkritik Schweiz,,@MedienkritikCH,,http://medienkritik-schweiz.ch/,DE,Fachöffentlichkeit online,(Medienwatch-)Blog,,,ja,,
