Name,Additional names,Twitter-Account,Organization,Specific addresses,URL,Language,Category,Subcategory,Country
Anzeiger Kerzers,Anzeiger Kerzers,,Freiburger Nachrichten AG,,http://www.anzeigerkerzers.ch,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Anzeiger Kirchberg,Anzeiger Kirchberg,,Anzeiger Kirchberg,,http://www.anzeiger-kirchberg.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Anzeiger Konolfingen,Anzeiger Konolfingen,,Aeschbacher AG,,http://www.anzeigerkonolfingen.ch,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Anzeiger Kt. St. Gallen/Appenzell/Liechtenstein,Anzeiger Kt. St. Gallen/Appenzell/Liechtenstein,,St. Galler Tagblatt AG,,http://www.anzeiger.biz,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Anzeiger Luzern,Anzeiger Luzern,,Anzeiger Luzern,,http://www.anzeiger-luzern.ch,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Anzeiger Michelsamt,Anzeiger Michelsamt,,Wallimann Druck und Verlag AG,,http://www.anzeigermichelsamt.ch,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Anzeiger Oberes Emmental,Anzeiger Oberes Emmental,,Vögeli AG Druckzentrum,,http://www.azoe.ch,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Anzeiger Region Bern,Anzeiger Region Bern,,Anzeiger Regio Bern,,http://www.anzeigerbern.ch,DE,Massenmediale Öffentlichkeit,2x wöchentlich,CH
Anzeiger Region Erlach,Anzeiger Region Erlach,,Dätwiler AG,,http://www.daetwiler.ch/index.asp?page=Anzeiger%20Amt%20Erlach1,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Anzeiger Stadt St. Gallen und Region,Anzeiger Stadt St. Gallen und Region (prov. Beglaubigung),,St. Galler Tagblatt AG,,http://www.anzeiger.biz,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Anzeiger Thal Gäu Olten,Anzeiger Thal Gäu Olten,,Genossenschaft «Anzeiger Thal Gäu Olten»,,http://www.anzeigertgo.ch,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Anzeiger Thurgau,Anzeiger Thurgau,,St. Galler Tagblatt AG,,http://www.anzeiger.biz,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Anzeiger Trachselwald,Anzeiger Trachselwald,,Druckerei Schürch AG,,http://www.schuerch-druck.ch/pages/de/Anzeiger_Trachselwald.html,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Anzeiger vom Rottal,Anzeiger vom Rottal,,Meyer Rottal Druck AG,,http://www.anzeigervomrottal.ch,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Anzeiger von Saanen,Anzeiger von Saanen,,Müller Marketing & Druck AG,,http://www.anzeigervonsaanen.ch,DE,Massenmediale Öffentlichkeit,2x wöchentlich,CH
Anzeiger von Uster,Anzeiger von Uster,,Verlag Zürcher Oberland Medien AG,,http://www.avu.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Anzeiger von Wallisellen,Anzeiger von Wallisellen,,Anzeiger von Wallisellen,,http://www.avwa.ch/de/,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Appenzell24.ch,Appenzell24.ch,,Druckerei Appenzeller Volksfreund,,http://www.appenzell24.ch/,DE,Massenmediale Öffentlichkeit,Newsportal,CH
