Name,(Sonstige) Bezeichnung / Abk.,Country,Category,Verifier,URL,URL-Sprache,Verlagshaus,Twitter-Account,Nickname,Organisation,Position,Follower,Tweets,Link
"Brupbacher, Marc",,CH,,Vincenzo,,,,@MarcBrupbacher,,TagesAnzeiger,Leiter Newsdesk,988,1'272,https://twitter.com/MarcBrupbacher
"Büchi, Andres",,CH,,Vincenzo,,,,@AndresBuechi,,Chefredaktor der Schweizer Zeitschrift Beobachter,Journalist,595,434,https://twitter.com/AndresBuechi
"Buchs, Christoph",,CH,,Vincenzo,,,,@christoph_buchs,,Jungfrau Zeitung,"Journalist, Stv. Chefredaktor Jungfrau Zeitung",253,1'154,https://twitter.com/christoph_buchs
"Buechner, Wolfgang",,CH,,Vincenzo,,,,@wbuechner,,"Der Spiegel, Spiegel Online",Editor-In-Chief,30'700,969,https://twitter.com/wbuechner
"Buergler, Patrick",,CH,,Vincenzo,,,,@buergler,,,Online-Journalist,787,1'714,https://twitter.com/buergler
"Buess, Urs",,CH,,Vincenzo,,,,@ursbuess,,,Journalist,817,28,https://twitter.com/ursbuess
"Bühler, Dennis",,CH,,Vincenzo,,,,@DennisBuehler,,Südostschweiz,Inland- und Medienredakteur,948,744,https://twitter.com/DennisBuehler
"Bühlmann, Tobias",,CH,,Vincenzo,,,,@tobuehl,,NZZ,Nachrichtenredaktor,398,273,https://twitter.com/tobuehl
"Buholzer, Kathrin",,CH,,Vincenzo,,,,@Elternplanet,,,Journalistin,3'523,22.5 Tsd,https://twitter.com/Elternplanet
"Bundi, Annetta",,CH,,Vincenzo,,,,@annetta_bundi,,"UVEK (Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation)",Mediensprecherin (Bundeshausjournalistin 1999-2009),317,128,https://twitter.com/annetta_bundi
"Burgener, Samuel",,CH,,Vincenzo,,,,@samburgener,,NZZ,Sportredaktor,220,184,https://twitter.com/samburgener
"Burger, Andreas ",,CH,,Vincenzo,,,,@aburgerabz,,,"Politik, SP, Informatik, Zuerich, ETHZ, FSFE, Opensource, Kultur",1076,4066,https://twitter.com/aburgerabz
"Bürgin, Hanspeter",,CH,,Vincenzo,,,,@hpbuergin,,,,590,347,https://twitter.com/hpbuergin
"Burkhardt, Peter",,CH,,Vincenzo,,,,@PeterBurkhardt,,Schweiz am Sonntag,Journalist,1'815,868,https://twitter.com/PeterBurkhardt
"Bürki, Andrea",,CH,,Vincenzo,,,,@andreabuerki,,Radio Basilisk,,139,10,https://twitter.com/andreabuerki
